# time,x,y,theta,speed
1761156078.68255,1.25947260856628,2.80166935920715,0.015650562942028,1.49998390674591
1761156078.75303,1.36446475982666,2.80286908149719,0.0121935717761517,1.4999885559082
1761156078.81598,1.45446181297302,2.8034975528717,0.00820774026215076,1.49999141693115
1761156078.88257,1.55946087837219,2.80375933647156,0.00323498831130564,1.49999392032623
1761156078.95229,1.66445446014404,2.80273485183716,6.27502584457397,1.49999570846558
1761156079.01601,1.75442898273468,2.80062699317932,6.26297044754028,1.49999678134918
1761156079.08255,1.85935699939728,2.79677033424377,6.24853277206421,1.4999977350235
1761156079.15173,1.96421825885773,2.79139471054077,6.23396635055542,1.49999833106995
1761156079.21591,2.05400657653809,2.78525161743164,6.21834087371826,1.4999988079071
1761156079.2826,2.15856456756592,2.77565670013428,6.19509506225586,1.49999916553497
1761156079.35191,2.26286172866821,2.76355051994324,6.17102527618408,1.49999940395355
1761156079.41598,2.35200500488281,2.75117325782776,6.15026712417603,1.49999952316284
1761156079.48258,2.45563340187073,2.73428106307983,6.1247034072876,1.49999964237213
1761156079.55123,2.55863475799561,2.71391916275024,6.09254837036133,1.49999976158142
1761156079.61594,2.64633059501648,2.69369840621948,6.06369543075562,1.49999988079071
1761156079.68271,2.74785184860229,2.66691422462463,6.02983903884888,1.49999988079071
1761156079.75147,2.84840393066406,2.63669562339783,5.99576330184937,1.49999988079071
1761156079.81632,2.93353891372681,2.60752272605896,5.96138572692871,1.49999988079071
1761156079.88254,3.03138589859009,2.56946969032288,5.91830492019653,1.49885857105255
1761156079.95139,3.12727189064026,2.52729821205139,5.8747763633728,1.49510884284973
1761156080.01598,3.20734620094299,2.48806738853455,5.83673095703125,1.48031270503998
1761156080.08253,3.29729914665222,2.43835473060608,5.78615188598633,1.4579963684082
1761156080.15194,3.38326263427734,2.38461327552795,5.73412036895752,1.44251394271851
1761156080.21597,3.4538402557373,2.33549547195435,5.68982696533203,1.42705392837524
1761156080.28258,3.53232407569885,2.27490973472595,5.63803148269653,1.41006398200989
