# x,y,theta,velocity,time
1.873160998400227761e+00,-7.078852479385068508e-02,-3.751693801697895125e-01,3.388834951456310751e+00,1.738851998426616669e+09
1.894398773374519562e+00,-8.525445993171998360e-02,-3.724703150415207276e-01,3.391504854368931898e+00,1.738851998462943792e+09
1.967130753313388603e+00,-1.163039415735231258e-01,-4.533959874022981396e-01,3.399999999999999911e+00,1.738851998499510288e+09
2.027690652146223016e+00,-1.439857113562841850e-01,-4.562820669711795674e-01,3.407524271844660113e+00,1.738851998532119513e+09
2.046288530237373671e+00,-1.592940792062653155e-01,-4.819535708385866979e-01,3.408009708737864241e+00,1.738851998551461458e+09
2.065032092801112995e+00,-1.748520287141844543e-01,-4.846381182705410406e-01,3.412135922330096882e+00,1.738851998571329832e+09
2.085912890895738059e+00,-1.865225837515400720e-01,-4.827988377885670257e-01,3.414320388349514346e+00,1.738851998587920189e+09
2.140578038970605501e+00,-2.288174970735267211e-01,-4.212963143598951188e-01,3.418446601941747431e+00,1.738851998605800867e+09
2.185174629878309460e+00,-2.559457702509534416e-01,-4.160433335840163505e-01,3.420388349514563053e+00,1.738851998639000654e+09
2.312974066047160271e+00,-3.158176750394535715e-01,-3.429502941447377662e-01,3.425242718446602108e+00,1.738851998672626019e+09
2.363473448018639900e+00,-3.367515387527092452e-01,-3.399567148214213130e-01,3.424029126213592011e+00,1.738851998708636522e+09
2.486313685766765147e+00,-3.785904230069402354e-01,-2.321175989735972667e-01,3.425970873786407633e+00,1.738851998737284899e+09
2.588484404998422139e+00,-4.039026232502984648e-01,-2.330591971089030767e-01,3.425728155339805792e+00,1.738851998761612177e+09
2.615898933252366998e+00,-4.106095854783475829e-01,-2.374549218131416506e-01,3.424514563106796139e+00,1.738851998781506300e+09
2.677837463283185837e+00,-4.208224379068573606e-01,-1.004425979593886048e-01,3.425970873786407633e+00,1.738851998801469088e+09
2.729529849381209239e+00,-4.222077958720988344e-01,-1.065723924465327294e-01,3.422572815533980517e+00,1.738851998831542492e+09
2.757652239597528698e+00,-4.251090382135951362e-01,-1.104227997231273101e-01,3.423058252427184645e+00,1.738851998864751101e+09
2.884716034602063495e+00,-4.322477204754714419e-01,-3.331421491775432564e-02,3.421359223300970864e+00,1.738851998902436972e+09
