# x,y,theta,velocity,time
6.208704589574179922e-01,-2.664788820490773702e+00,2.838339491242417800e+00,3.873058252427184378e+00,1.738852456990036249e+09
5.609042262757919506e-01,-2.649496834495742803e+00,2.826689524416859278e+00,3.874514563106796317e+00,1.738852457018933296e+09
4.372654012775201160e-01,-2.612421779538177002e+00,2.788163115078115872e+00,3.880582524271844580e+00,1.738852457047693014e+09
3.655624248003799259e-01,-2.596831757830037279e+00,2.917496243683031842e+00,3.880825242718446422e+00,1.738852457066761255e+09
2.826294170593717237e-01,-2.582065232431087320e+00,2.889215256857319059e+00,3.886650485436893288e+00,1.738852457090341806e+09
1.808567217896051571e-01,-2.564365284528944855e+00,2.996123843683622390e+00,3.888349514563106624e+00,1.738852457113303900e+09
1.049703509815163027e-01,-2.554277626625482078e+00,2.961969255626075714e+00,3.891504854368931898e+00,1.738852457138130903e+09
-9.429431737671432889e-03,-2.530853543948420548e+00,2.901712210060963137e+00,3.897087378640776478e+00,1.738852457166280031e+09
-7.589332754179256568e-02,-2.517873238482376763e+00,2.945094938806767537e+00,3.900242718446601753e+00,1.738852457192193985e+09
-1.544304962772639345e-01,-2.502886310254449853e+00,2.903770737774730826e+00,3.900485436893204039e+00,1.738852457216579437e+09
-2.519387821657115278e-01,-2.476311525774532729e+00,2.848979968108699801e+00,3.722087378640776656e+00,1.738852457241400957e+09
-3.268997184514937371e-01,-2.451499742534493098e+00,2.861660285988413044e+00,3.721844660194174814e+00,1.738852457265702248e+09
-3.771774895513913539e-01,-2.435463766996166068e+00,2.833556566111481878e+00,3.654854368932038966e+00,1.738852457290813923e+09
-4.565322475002099312e-01,-2.422274139148650640e+00,2.819287017382118954e+00,3.590533980582524265e+00,1.738852457316926479e+09
-5.499536246908760528e-01,-2.394654746046882110e+00,2.758578868781746074e+00,3.517961165048543837e+00,1.738852457341232777e+09
-5.893408738154758408e-01,-2.380196756828016014e+00,2.734214848704822565e+00,3.478883495145630889e+00,1.738852457366212368e+09
-6.530550603787916852e-01,-2.361815375416630225e+00,2.709423807118031213e+00,3.433737864077670121e+00,1.738852457392223358e+09
-7.688708292368613417e-01,-2.305210526367863721e+00,2.637306747831337894e+00,3.356067961165048352e+00,1.738852457433879137e+09
-8.359854975948864952e-01,-2.272197033822061396e+00,2.563264785236106569e+00,3.304126213592232908e+00,1.738852457464386225e+09
-9.220439768409911530e-01,-2.207859197408732044e+00,2.504519490402741688e+00,3.232038834951456163e+00,1.738852457493106127e+09
-1.015345648058640915e+00,-2.136458127143589625e+00,2.403197463840139214e+00,3.182524271844660024e+00,1.738852457516240358e+09
-1.045129631922792512e+00,-2.113252154270802485e+00,2.383059421997415495e+00,3.129611650485436769e+00,1.738852457547665596e+09
-1.072250951213293391e+00,-2.084458780863738703e+00,2.362058793368308152e+00,3.087135922330097149e+00,1.738852457577935696e+09
-1.148038344292562574e+00,-2.015743756369962281e+00,2.291864029131345681e+00,3.041504854368932254e+00,1.738852457594879866e+09
-1.191404883284985949e+00,-1.967029569035656955e+00,2.252135171244911582e+00,3.022330097087378764e+00,1.738852457614242077e+09
-1.233626154989384105e+00,-1.914907252044095731e+00,2.195471264411934964e+00,2.983252427184465816e+00,1.738852457636718512e+09
-1.261157337130189848e+00,-1.866429702593621842e+00,2.165089165810495153e+00,2.933980582524271963e+00,1.738852457657215834e+09
-1.286624958582253786e+00,-1.824371247030233567e+00,2.139066385179531515e+00,2.927427184466019572e+00,1.738852457684852839e+09
-1.338543740809446492e+00,-1.735673627136666841e+00,2.066045081989122512e+00,2.897087378640776478e+00,1.738852457707242489e+09
-1.365123625467761226e+00,-1.677538843237148303e+00,2.036351569547405482e+00,2.890776699029126373e+00,1.738852457734730244e+09
-1.381050439384007067e+00,-1.633357691754555363e+00,2.011766702340451296e+00,2.875485436893203683e+00,1.738852457757125139e+09
-1.402082632117790384e+00,-1.579106328159779693e+00,1.950357919844221577e+00,2.867233009708737956e+00,1.738852457782094717e+09
-1.418214849594789939e+00,-1.527345824650076178e+00,1.922652222221137741e+00,2.856067961165048352e+00,1.738852457804417610e+09
-1.422607793173187085e+00,-1.475533992107405101e+00,1.897848420998434982e+00,2.841019417475727948e+00,1.738852457830904722e+09
-1.446581988537120944e+00,-1.353174674389563403e+00,1.791653191712494042e+00,2.837621359223300832e+00,1.738852457854965687e+09
-1.451832331762462180e+00,-1.292489191503659152e+00,1.764765308092370644e+00,2.824514563106796050e+00,1.738852457881828308e+09
-1.460811805194682345e+00,-1.223090246954290361e+00,1.668854310536345587e+00,2.824514563106796050e+00,1.738852457909470081e+09
-1.455600451160775410e+00,-1.120858198072051115e+00,1.628258581799292726e+00,2.822330097087378586e+00,1.738852457933457375e+09
-1.446537560697311209e+00,-1.072936595494335510e+00,1.612126779783465302e+00,2.821359223300970775e+00,1.738852457954592705e+09
-1.433235400873798637e+00,-1.005800901257870361e+00,1.511048081863036741e+00,2.822330097087378586e+00,1.738852457977579594e+09
-1.412042786418887363e+00,-9.628924280665265290e-01,1.496214909021989170e+00,2.818446601941747787e+00,1.738852457995195389e+09
-1.397882092921385322e+00,-9.016593464220714615e-01,1.474890155769940314e+00,2.818203883495145501e+00,1.738852458013267279e+09
-1.384437219045032474e+00,-8.633219498792951141e-01,1.458288913305874068e+00,2.821116504854368934e+00,1.738852458034948349e+09
-1.375007850919967911e+00,-8.243903189921378827e-01,1.360923191453838221e+00,2.820388349514562965e+00,1.738852458053864717e+09
-1.358997555202129170e+00,-7.658833315255054730e-01,1.334142663370069037e+00,2.818203883495145501e+00,1.738852458077804804e+09
-1.348401732548020426e+00,-7.483234691293741969e-01,1.326085771620898468e+00,2.818932038834951470e+00,1.738852458098458767e+09
-1.321327698098445635e+00,-6.727789387967707535e-01,1.218336846375353444e+00,2.825242718446602019e+00,1.738852458117141008e+09
-1.292260345559543167e+00,-6.191058499059738374e-01,1.196596575746709190e+00,2.829126213592232819e+00,1.738852458140611172e+09
-1.268098369056488650e+00,-5.750951034599828260e-01,1.181497101730783150e+00,2.820873786407767092e+00,1.738852458161641121e+09
-1.229579777648441841e+00,-5.291210598993739689e-01,1.092615075394681945e+00,2.826213592233009830e+00,1.738852458183407545e+09
-1.201619826059892926e+00,-4.791081476065813805e-01,1.067732088539343316e+00,2.830097087378640630e+00,1.738852458201342106e+09
-1.179947157323572915e+00,-4.372993748035334249e-01,1.042110913219757684e+00,2.832766990291262221e+00,1.738852458220112324e+09
-1.161065807091339552e+00,-3.988289089427349832e-01,1.019906109015130902e+00,2.837378640776698990e+00,1.738852458242578030e+09
-1.108079745834651408e+00,-3.345521973719637887e-01,9.393627816700548250e-01,2.844174757281553223e+00,1.738852458261188269e+09
-1.059861207351962653e+00,-2.871554435851679798e-01,9.180184980044029386e-01,2.844660194174757351e+00,1.738852458281269312e+09
-1.021691068908571420e+00,-2.493726769426009848e-01,8.994719114022363682e-01,2.856067961165048352e+00,1.738852458300714254e+09
-9.697820093718867440e-01,-1.995089599067186859e-01,8.060387772732148237e-01,2.866990291262136115e+00,1.738852458322964907e+09
-9.207819297380536172e-01,-1.596137672296002175e-01,7.819402720512291793e-01,2.875242718446601842e+00,1.738852458346390486e+09
-8.784024256427118704e-01,-1.167415049060754328e-01,7.601082957090907755e-01,2.888592233009708909e+00,1.738852458367123127e+09
-8.303526456780794263e-01,-6.356232149846950674e-02,6.698168877885624095e-01,2.889805825242718562e+00,1.738852458387093782e+09
-7.896204242602289369e-01,-2.339999036829600032e-02,6.509727295435316918e-01,2.897330097087378764e+00,1.738852458408138514e+09
-7.588161582732567689e-01,5.833635610216995199e-03,6.370064873428650243e-01,2.905339805825242649e+00,1.738852458430454731e+09
-6.602765177122456031e-01,6.397744800290831868e-02,5.181314881814235163e-01,2.938106796116505048e+00,1.738852458450174332e+09
-6.070989775956986412e-01,8.084974976121506174e-02,4.996376188255230444e-01,2.987135922330097060e+00,1.738852458475122690e+09
-5.640760783872998951e-01,9.690036599371021353e-02,4.878930330098317780e-01,3.014805825242718562e+00,1.738852458504387856e+09
-4.822622185129807892e-01,1.299000595278238801e-01,4.343431890864931644e-01,3.005339805825242738e+00,1.738852458524183035e+09
-4.094269939980722528e-01,1.593071915601851629e-01,4.046438891686525152e-01,3.022815533980582448e+00,1.738852458541234255e+09
-3.514240415628174796e-01,1.768841014606193918e-01,3.873066426577293497e-01,3.034466019417475735e+00,1.738852458562692165e+09
-2.827079689594190759e-01,1.990142689665467535e-01,2.845045900659383120e-01,3.059466019417475646e+00,1.738852458581251144e+09
-2.325333045309008750e-01,2.091912827006244258e-01,2.697706753851809025e-01,3.084223300970873716e+00,1.738852458599219799e+09
-1.957063125554100447e-01,2.120209416236138733e-01,2.588155504790163319e-01,3.118446601941747609e+00,1.738852458615325212e+09
-1.712941813342912789e-01,2.175106119073980104e-01,2.520167648665702087e-01,3.145873786407766826e+00,1.738852458632563114e+09
-1.369423366632188666e-01,2.303471626289129714e-01,1.887238264613441685e-01,3.175485436893203950e+00,1.738852458649919510e+09
-1.224446951650780824e-01,2.305634683587012013e-01,1.856065505176535124e-01,3.187135922330097237e+00,1.738852458667891264e+09
-7.849410863359145007e-02,2.412299531348194859e-01,1.665439471851496434e-01,3.193203883495145501e+00,1.738852458693413019e+09
8.170894255361238825e-03,2.475534591530650919e-01,1.095920759483409862e-01,3.273058252427184289e+00,1.738852458716512918e+09
9.952784136648321067e-02,2.477592216685066961e-01,8.985007248256850210e-02,3.350242718446601931e+00,1.738852458744752169e+09
2.839148171111772201e-01,2.539061139512239773e-01,-4.082997930661590169e-02,3.575000000000000178e+00,1.738852458774457216e+09
3.841701455740204607e-01,2.495037478891763694e-01,-6.239188136134741353e-02,3.680339805825242561e+00,1.738852458801392317e+09
4.713047144864114246e-01,2.395068202046217176e-01,-6.938104641788910010e-02,3.719174757281553223e+00,1.738852458826570511e+09
5.503717616721799377e-01,2.309210013671380846e-01,-1.801322426709158764e-01,3.727184466019417552e+00,1.738852458851573229e+09
6.128627120353445923e-01,2.167632673899609896e-01,-1.910324149592891041e-01,3.741019417475728304e+00,1.738852458874268532e+09
6.697065528584047467e-01,2.050199881054844686e-01,-1.987081337659591662e-01,3.744660194174757262e+00,1.738852458901625395e+09
