# time,x,y,theta
1.761199210547129393e+09,3.965775489807128906e+00,7.194174528121948242e-01,4.385953903198242188e+00
1.761199210611501217e+09,3.933901548385620117e+00,6.504309177398681641e-01,4.325329780578613281e+00
1.761199210677933693e+09,3.891582250595092773e+00,5.727499127388000488e-01,4.254859447479248047e+00
1.761199210746995926e+09,3.843926191329956055e+00,4.983455538749694824e-01,4.184464454650878906e+00
1.761199210811211109e+09,3.799003601074218750e+00,4.373926818370819092e-01,4.124197959899902344e+00
1.761199210877970457e+09,3.742065191268920898e+00,3.698570728302001953e-01,4.053935527801513672e+00
1.761199210946515083e+09,3.680474758148193359e+00,3.064465820789337158e-01,3.983597278594970703e+00
1.761199211011531591e+09,3.624457359313964844e+00,2.552242875099182129e-01,3.927294015884399414e+00
1.761199211077991009e+09,3.555701971054077148e+00,1.990195810794830322e-01,3.864594221115112305e+00
1.761199211146908522e+09,3.483314275741577148e+00,1.469069570302963257e-01,3.802186489105224609e+00
1.761199211211609602e+09,3.418599128723144531e+00,1.054328605532646179e-01,3.751031160354614258e+00
1.761199211278034687e+09,3.340323686599731445e+00,6.036928296089172363e-02,3.695627450942993164e+00
1.761199211346824408e+09,3.259033679962158203e+00,1.916526816785335541e-02,3.640590429306030273e+00
1.761199211411399364e+09,3.187137842178344727e+00,-1.319339778274297714e-02,3.596075057983398438e+00
1.761199211478154898e+09,3.100934505462646484e+00,-4.785403609275817871e-02,3.548089265823364258e+00
1.761199211546446800e+09,3.012185811996459961e+00,-7.887386530637741089e-02,3.500221967697143555e+00
1.761199211611345530e+09,2.934192657470703125e+00,-1.028694957494735718e-01,3.462967395782470703e+00
1.761199211678073883e+09,2.841118335723876953e+00,-1.280400902032852173e-01,3.422426462173461914e+00
1.761199211746831894e+09,2.745813131332397461e+00,-1.498944908380508423e-01,3.381973505020141602e+00
1.761199211811359406e+09,2.662334918975830078e+00,-1.661709100008010864e-01,3.349983215332031250e+00
1.761199211878085136e+09,2.563102483749389648e+00,-1.827217787504196167e-01,3.316893339157104492e+00
1.761199211946650267e+09,2.462160110473632812e+00,-1.963874697685241699e-01,3.284735202789306641e+00
1.761199212011336803e+09,2.374675273895263672e+00,-2.063000500202178955e-01,3.262362718582153320e+00
1.761199212078052282e+09,2.271775484085083008e+00,-2.157665640115737915e-01,3.238170862197875977e+00
1.761199212147259235e+09,2.168203592300415039e+00,-2.228671908378601074e-01,3.214381217956542969e+00
1.761199212211315632e+09,2.079067945480346680e+00,-2.276150882244110107e-01,3.199084043502807617e+00
1.761199212278033257e+09,1.974781751632690430e+00,-2.318284511566162109e-01,3.184123516082763672e+00
1.761199212347743988e+09,1.870264053344726562e+00,-2.345349639654159546e-01,3.169559240341186523e+00
1.761199212411313772e+09,1.780550479888916016e+00,-2.357115149497985840e-01,3.157801389694213867e+00
1.761199212477969170e+09,1.675790905952453613e+00,-2.365587055683135986e-01,3.150555133819580078e+00
1.761199212546881914e+09,1.570960164070129395e+00,-2.369154244661331177e-01,3.145432949066162109e+00
1.761199212611292601e+09,1.481065392494201660e+00,-2.368040531873703003e-01,3.141249418258666992e+00
1.761199212677981377e+09,1.376156687736511230e+00,-2.361926734447479248e-01,3.136372327804565430e+00
1.761199212748221159e+09,1.271226286888122559e+00,-2.350749373435974121e-01,3.131562709808349609e+00
1.761199212811251640e+09,1.181276440620422363e+00,-2.337090671062469482e-01,3.127411365509033203e+00
1.761199212877931356e+09,1.076330661773681641e+00,-2.316404134035110474e-01,3.122534990310668945e+00
1.761199212946744919e+09,9.713863134384155273e-01,-2.290681898593902588e-01,3.117722272872924805e+00
1.761199213011242628e+09,8.814392089843750000e-01,-2.264564186334609985e-01,3.113569021224975586e+00
1.761199213078010321e+09,7.765111923217773438e-01,-2.229345440864562988e-01,3.108690977096557617e+00
1.761199213147356272e+09,6.715975403785705566e-01,-2.189092934131622314e-01,3.103877305984497070e+00
1.761199213211353540e+09,5.816807746887207031e-01,-2.151733934879302979e-01,3.101022481918334961e+00
1.761199213277900934e+09,4.767568707466125488e-01,-2.113085091114044189e-01,3.104097604751586914e+00
1.761199213348256588e+09,3.718182444572448730e-01,-2.078225612640380859e-01,3.107374429702758789e+00
1.761199213411240816e+09,2.818836867809295654e-01,-2.044493257999420166e-01,3.104905366897583008e+00
1.761199213478012085e+09,1.769761145114898682e-01,-2.000891566276550293e-01,3.101007938385009766e+00
1.761199213547490358e+09,7.205232232809066772e-02,-1.961271464824676514e-01,3.103465080261230469e+00
1.761199213611291170e+09,-1.789726316928863525e-02,-1.931407898664474487e-01,3.107197284698486328e+00
1.761199213677889109e+09,-1.228272840380668640e-01,-1.893309801816940308e-01,3.105443239212036133e+00
1.761199213747243166e+09,-2.277368456125259399e-01,-1.849883049726486206e-01,3.101053953170776367e+00
1.761199213811324596e+09,-3.176421821117401123e-01,-1.808696687221527100e-01,3.096949338912963867e+00
1.761199213878077507e+09,-4.225094318389892578e-01,-1.755981594324111938e-01,3.092076778411865234e+00
1.761199213947629690e+09,-5.273504257202148438e-01,-1.698275357484817505e-01,3.087262153625488281e+00
1.761199214011224747e+09,-6.171910166740417480e-01,-1.644759774208068848e-01,3.083107471466064453e+00
1.761199214077936649e+09,-7.219757437705993652e-01,-1.577588766813278198e-01,3.078228235244750977e+00
1.761199214147148371e+09,-8.267228603363037109e-01,-1.504815667867660522e-01,3.072750806808471680e+00
1.761199214211327076e+09,-9.164220094680786133e-01,-1.431374251842498779e-01,3.062558650970458984e+00
1.761199214277899742e+09,-1.020944833755493164e+00,-1.331483423709869385e-01,3.048480272293090820e+00
1.761199214347775936e+09,-1.125312685966491699e+00,-1.216519773006439209e-01,3.033959627151489258e+00
1.761199214411840200e+09,-1.214588761329650879e+00,-1.102746799588203430e-01,3.018338203430175781e+00
1.761199214478032351e+09,-1.318408131599426270e+00,-9.459079056978225708e-02,2.995092391967773438e+00
1.761199214546453238e+09,-1.421810030937194824e+00,-7.635901123285293579e-02,2.970359086990356445e+00
1.761199214611394644e+09,-1.509927034378051758e+00,-5.806209146976470947e-02,2.943562269210815430e+00
1.761199214677919388e+09,-1.612005233764648438e+00,-3.348578885197639465e-02,2.910098075866699219e+00
1.761199214746658564e+09,-1.713160872459411621e+00,-5.358394235372543335e-03,2.874891757965087891e+00
1.761199214811328173e+09,-1.798831224441528320e+00,2.220339141786098480e-02,2.839217901229858398e+00
1.761199214877903938e+09,-1.897394418716430664e+00,5.837748199701309204e-02,2.795886039733886719e+00
